Recording Date,Production Order,Production Line,Material Type,Manufacturing Process,Width Change,Grammage,Length,Width,Reference,Reference Type,Team,Week Day,Shift,Speed,Ventilation 1,Ventilation 2,Ventilation 3,Ventilation 4,Ventilation 5,Ventilation 6,Temperature 1,Temperature 2,Temperature 3,Temperature 4,Temperature 5,Temperature 6,Tension,RC,VC,RC Out?,VC Out?
20180126011454,5160098439,323,PBA02,BPDUP,N,81.0,5520,1850,L3031,L,B,SEX,1,17.39,910.81,846.14,897.35,794.7,800.35,0.33,119.67,119.05,123.61,107.7,93.77,0.0,15.39,59.1,,"[59,60[",
20180126011454,5160098439,323,PBA02,BPDUP,N,81.0,5520,1850,L3031,L,B,SEX,1,17.39,910.81,846.14,897.35,794.7,800.35,0.33,119.67,119.05,123.61,107.7,93.77,0.0,15.39,59.1,,"[59,60[",
20180126094605,5160098442,323,PBA02,BPDUP,N,71.0,5520,1850,M760,M,B,SEX,1,21.1,835.94,847.01,898.44,795.36,798.83,0.33,114.45,118.93,123.57,109.21,94.82,0.0,21.9,60.6,,"[60,61[",
20180126104806,5160098433,323,PBA02,BPDUP,N,91.0,5520,1850,B4359,B,B,SEX,1,20.39,837.24,847.66,898.0,795.36,799.7,0.33,124.12,129.01,133.92,109.51,101.03,0.0,19.24,55.9,,"[55,56[",
20180126115700,5160098436,323,PBA02,BPDUP,N,71.0,5520,1850,M748,M,B,SEX,1,22.02,837.67,849.18,897.57,794.49,799.48,0.33,124.97,129.01,133.54,111.73,98.55,0.0,18.69,,,,
20180126144700,5160098449,323,PBA02,BPDUP,S,101.0,4900,1240,L3191,L,A,SEX,2,20.39,836.81,847.44,897.57,794.27,800.35,0.33,119.41,123.69,128.34,108.33,98.6,0.0,13.28,57.1,,"[57,58[",
20180126153500,5160098398,323,PBA02,BPDUP,S,71.0,5520,1850,M732,M,A,SEX,2,25.47,847.44,847.66,898.0,795.79,799.48,0.33,124.88,129.14,136.2,115.88,106.99,0.0,15.74,58.4,,"[58,59[",
20180126172532,5160098438,323,PBA02,BPDUP,N,71.0,5120,1850,M532,M,A,SEX,2,26.52,897.35,847.66,911.89,794.27,800.78,0.33,127.68,134.66,138.44,116.64,108.71,0.0,15.08,58.4,6.5,"[58,59[","[6.5,7.0["
20180126180556,5160098441,323,PBA02,BPDUP,N,66.0,5120,1850,M6052,M,A,SEX,2,25.65,898.0,847.87,911.68,795.36,800.78,0.33,127.59,134.2,138.27,116.34,109.13,0.0,15.22,58.8,,"[58,59[",
20180129141715,5160098485,323,PBA02,BPDUP,N,66.0,5520,1850,M9001,M,B,SEG,2,27.31,897.14,847.44,913.19,795.57,799.7,0.33,126.96,133.69,138.23,116.47,101.28,0.0,17.53,58.1,,"[58,59[",
20180129141817,5160098485,323,PBA02,BPDUP,N,66.0,5520,1850,M9001,M,B,SEG,2,27.31,898.0,848.09,912.11,795.36,800.56,0.33,127.0,133.43,138.02,116.47,101.28,0.0,18.11,58.7,,"[58,59[",
